Violation Description,Imposed Fine Detailed
suspended or revoked licenses,10731100.0
Unlawful drugs in motor vehicle,2656450.0
DUI,1965300.0
Drugs within 500ft park/school,517000.0
DUI within 500ft park/school,416000.0
Altered Temp Tag,324000.0
Unlawful firearm,200150.0
Fleeing vehicle,127000.0
Removal/Relocation,82500.0
Firearm 500ft park/school,69000.0
Street solicitation,41000.0
Investigation,35000.0
Sound device restrictions,14500.0
Insurance,11000.0
Littering, 10000.0
Street solicitation within 500ft park/school,4000.0
Hit and Run,4000.0
Forfeitures--Investigations--Hit and Runs,4000.0
Removal/Relocation of Vehicle Subject to Impoundment,4000.0
Unlawful fireworks,3500.0
Counterfeit wheel tax license emblems,2000.0
Possession of etching materials w/ intent to deface,2000.0
Forfeitures--Investigations--Hit and Runs Transferred to Pound,2000.0
Unlawful possession of firearm,2000.0
Vehicle Impoundment - motor vehicle used in violation of this section - Owner responsibility,1500.0
Impoundment of vehicle--Notification of owner--Penalty,1000.0
Interfering with a funeral procession,500.0
Broadcast or Recorded Sound Restrictions,500.0
Drag Racing,0.0
Forfeiture,0.0
Arrestee,0.0
